locus_tag,Before optimization SEQUENCING_PRIMER_1 location (start-end),Before optimization SEQUENCING_PRIMER_1 off-target site,Before optimization SEQUENCING_PRIMER_2 location (start-end),Before optimization  SEQUENCING_PRIMER_2 off-target site,After optimization SEQUENCING_PRIMER_1 location (start-end),After optimization SEQUENCING_PRIMER_1 off-target site,After optimization SEQUENCING_PRIMER_2 location (start-end),After optimization  SEQUENCING_PRIMER_2 off-target site,type (B: Before optimization);(A:After optimization),strain,index
NC_000913.3_25_substitution,,,,,NC_000913.3:402245-402266,,NC_000913.3:402845-402865,,B:No primer3 design results;A:No offtarget,Escherichia_coli,50-4
NC_000913.3_38_insertion,NC_000913.3:2726099-2726119,NC_000913.3:4213110-4213130;NC_000913.3:4040587-4040607;NC_000913.3:4171707-4171727;NC_000913.3:3946770-3946790;NC_000913.3:228826-228846;NC_000913.3:3423453-3423473;NC_000913.3:3423698-3423718,NC_000913.3:2726596-2726616,NC_000913.3:4040089-4040109;NC_000913.3:3946273-3946293;NC_000913.3:4171210-4171230;NC_000913.3:4212612-4212632;NC_000913.3:228328-228348;NC_000913.3:3424195-3424215,NC_000913.3:2725976-2725996,,NC_000913.3:2727471-2727491,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,50-5
NC_000913.3_46_substitution,,,,,NC_000913.3:2068014-2068036,,NC_000913.3:2068598-2068618,,B:No primer3 design results;A:No offtarget,Escherichia_coli,50-5
NC_000913.3_22_insertion,NC_000913.3:227128-227149,NC_000913.3:4170010-4170031;NC_000913.3:4211412-4211433;NC_000913.3:3945073-3945094;NC_000913.3:4038887-4038908;NC_000913.3:3425394-3425415;NC_000913.3:2727795-2727816,NC_000913.3:227626-227646,NC_000913.3:4211910-4211930;NC_000913.3:3945571-3945591;NC_000913.3:4170508-4170528;NC_000913.3:3424897-3424917;NC_000913.3:2727298-2727318,NC_000913.3:227128-227149,,NC_000913.3:228996-229018,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,100-1
NC_000913.3_78_deletion,NC_000913.3:736780-736805,NC_000913.3:736400-736425;NC_000913.3:3624332-3624357;NC_000913.3:1531770-1531795;NC_000913.3:738046-738071,NC_000913.3:737333-737353,NC_000913.3:1532324-1532344;NC_000913.3:3624886-3624906;NC_000913.3:738600-738620,NC_000913.3:736667-736687,,NC_000913.3:737962-737983,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,100-1
NC_000913.3_2_insertion,,,,,NC_000913.3:570255-570278,,NC_000913.3:570782-570802,,B:No primer3 design results;A:No offtarget,Escherichia_coli,100-1
NC_000913.3_7_deletion,,,,,NC_000913.3:4426933-4426953,,NC_000913.3:4427501-4427523,,B:No primer3 design results;A:No offtarget,Escherichia_coli,100-2
NC_000913.3_55_deletion,NC_000913.3:736761-736783,NC_000913.3:736381-736403;NC_000913.3:1531751-1531773;NC_000913.3:738027-738049;NC_000913.3:3624313-3624335,NC_000913.3:737274-737295,NC_000913.3:738541-738562;NC_000913.3:1532265-1532286;NC_000913.3:3624827-3624848,NC_000913.3:736497-736517,,NC_000913.3:737952-737976,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,100-3
NC_000913.3_76_substitution,NC_000913.3:2729725-2729745,NC_000913.3:225184-225204;NC_000913.3:4168072-4168092;NC_000913.3:4036944-4036964;NC_000913.3:4209560-4209580;NC_000913.3:3943221-3943241;NC_000913.3:3427330-3427350,NC_000913.3:2730271-2730290,NC_000913.3:3942676-3942695;NC_000913.3:224639-224658;NC_000913.3:4209015-4209034;NC_000913.3:4167527-4167546;NC_000913.3:4036399-4036418;NC_000913.3:3427876-3427895;NC_000913.3:3849895-3849914,NC_000913.3:2729508-2729528,,NC_000913.3:2731367-2731392,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,100-3
NC_000913.3_14_deletion,NC_000913.3:3269435-3269458,,NC_000913.3:3269953-3269973,NC_000913.3:3270179-3270199;NC_000913.3:3270066-3270086;NC_000913.3:1645026-1645046;NC_000913.3:3377754-3377774,NC_000913.3:3269435-3269458,,NC_000913.3:3269953-3269973,NC_000913.3:3270179-3270199;NC_000913.3:3270066-3270086;NC_000913.3:1645026-1645046;NC_000913.3:3377754-3377774,B:SEQUENCING_PRIMER_2 offtarget;A:SEQUENCING_PRIMER_2 offtarget,Escherichia_coli,100-4
NC_000913.3_18_substitution,NC_000913.3:377349-377369,NC_000913.3:377449-377469;NC_000913.3:4249375-4249395;NC_000913.3:1165791-1165811;NC_000913.3:2139716-2139736;NC_000913.3:111607-111627;NC_000913.3:1084695-1084715;NC_000913.3:4218497-4218517;NC_000913.3:2539620-2539640;NC_000913.3:5578-5598;NC_000913.3:111490-111510;NC_000913.3:3042453-3042473;NC_000913.3:2304484-2304504;NC_000913.3:2304823-2304843;NC_000913.3:2304597-2304617;NC_000913.3:2304936-2304956;NC_000913.3:2304710-2304730;NC_000913.3:4027531-4027551;NC_000913.3:508744-508764;NC_000913.3:2894852-2894872;NC_000913.3:4614622-4614642;NC_000913.3:551368-551388;NC_000913.3:4296188-4296208;NC_000913.3:4296301-4296321;NC_000913.3:4295962-4295982;NC_000913.3:4628757-4628777;NC_000913.3:4296412-4296432;NC_000913.3:411194-411214;NC_000913.3:72150-72170;NC_000913.3:411092-411112;NC_000913.3:2340327-2340347;NC_000913.3:3297013-3297033;NC_000913.3:4295849-4295869;NC_000913.3:4296075-4296095;NC_000913.3:4053591-4053611;NC_000913.3:2604947-2604967,NC_000913.3:377838-377858,,NC_000913.3:377312-377333,,NC_000913.3:377850-377870,,B:SEQUENCING_PRIMER_1 offtarget;A:No offtarget,Escherichia_coli,100-4
NC_000913.3_48_substitution,NC_000913.3:376887-376907,,NC_000913.3:377390-377410,NC_000913.3:4027571-4027591;NC_000913.3:3042394-3042414;NC_000913.3:3512569-3512589;NC_000913.3:2684183-2684203;NC_000913.3:2945961-2945981;NC_000913.3:610183-610203;NC_000913.3:2714349-2714369;NC_000913.3:4457187-4457207;NC_000913.3:2549532-2549552;NC_000913.3:715330-715350;NC_000913.3:4554507-4554527;NC_000913.3:4235423-4235443;NC_000913.3:707903-707923;NC_000913.3:411133-411153;NC_000913.3:4218438-4218458;NC_000913.3:3139623-3139643;NC_000913.3:632117-632137;NC_000913.3:4614461-4614481;NC_000913.3:377490-377510;NC_000913.3:4614259-4614279;NC_000913.3:4614360-4614380;NC_000913.3:815650-815670;NC_000913.3:2291267-2291287;NC_000913.3:508584-508604;NC_000913.3:3676186-3676206;NC_000913.3:1041987-1042007;NC_000913.3:111548-111568;NC_000913.3:4484385-4484405;NC_000913.3:173557-173577;NC_000913.3:4606618-4606638;NC_000913.3:72189-72209;NC_000913.3:3082805-3082825;NC_000913.3:4344878-4344898;NC_000913.3:2592980-2593000;NC_000913.3:857682-857702;NC_000913.3:248303-248323;NC_000913.3:2118523-2118543;NC_000913.3:4614562-4614582;NC_000913.3:4108637-4108657;NC_000913.3:4628813-4628833;NC_000913.3:138765-138785;NC_000913.3:1084736-1084756;NC_000913.3:411237-411257;NC_000913.3:508685-508705;NC_000913.3:1068420-1068440;NC_000913.3:3598464-3598484;NC_000913.3:4373264-4373284;NC_000913.3:832355-832375;NC_000913.3:4460467-4460487;NC_000913.3:3741030-3741050;NC_000913.3:4053532-4053552;NC_000913.3:25764-25784;NC_000913.3:805950-805970;NC_000913.3:2340363-2340383;NC_000913.3:1134652-1134672;NC_000913.3:551479-551499;NC_000913.3:4285304-4285324;NC_000913.3:216057-216077;NC_000913.3:2835117-2835137;NC_000913.3:4027472-4027492;NC_000913.3:4027374-4027394;NC_000913.3:4317968-4317988;NC_000913.3:3234692-3234712;NC_000913.3:508786-508806;NC_000913.3:4063562-4063582;NC_000913.3:4249414-4249434;NC_000913.3:2655035-2655055;NC_000913.3:2282889-2282909;NC_000913.3:501446-501466;NC_000913.3:3269788-3269808;NC_000913.3:5638-5658;NC_000913.3:3908419-3908439;NC_000913.3:4245186-4245206;NC_000913.3:1113483-1113503;NC_000913.3:762764-762784;NC_000913.3:3539748-3539768;NC_000913.3:4253999-4254019;NC_000913.3:248202-248222;NC_000913.3:3082692-3082712;NC_000913.3:1180418-1180438;NC_000913.3:4478941-4478961;NC_000913.3:4249323-4249343;NC_000913.3:4570013-4570033;NC_000913.3:900751-900771;NC_000913.3:2618029-2618049;NC_000913.3:4218536-4218556;NC_000913.3:1691490-1691510;NC_000913.3:3774303-3774323;NC_000913.3:4450946-4450966;NC_000913.3:2146652-2146672;NC_000913.3:4094318-4094338;NC_000913.3:4094686-4094706;NC_000913.3:2511408-2511428;NC_000913.3:2794071-2794091;NC_000913.3:4296023-4296043;NC_000913.3:4296362-4296382;NC_000913.3:4618163-4618183;NC_000913.3:247460-247480;NC_000913.3:244131-244151;NC_000913.3:4000221-4000241;NC_000913.3:4245094-4245114;NC_000913.3:4628697-4628717;NC_000913.3:3563648-3563668;NC_000913.3:244232-244252,NC_000913.3:376887-376907,,NC_000913.3:377433-377451,,B:SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,100-4
NC_000913.3_71_substitution,NC_000913.3:3621377-3621397,NC_000913.3:3764368-3764388;NC_000913.3:731768-731788;NC_000913.3:1527912-1527932,NC_000913.3:3621943-3621962,NC_000913.3:3764934-3764953;NC_000913.3:734205-734224;NC_000913.3:732334-732353;NC_000913.3:2848854-2848873;NC_000913.3:2979961-2979980;NC_000913.3:3297368-3297387,NC_000913.3:3621377-3621397,,NC_000913.3:3622871-3622891,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,100-4
NC_000913.3_81_insertion,,,,,NC_000913.3:3762170-3762192,,NC_000913.3:3762923-3762941,,B:No primer3 design results;A:No offtarget,Escherichia_coli,100-4
NC_000913.3_46_insertion,NC_000913.3:224909-224929,NC_000913.3:3942946-3942966;NC_000913.3:4209285-4209305;NC_000913.3:4167797-4167817;NC_000913.3:4036669-4036689;NC_000913.3:3427605-3427625;NC_000913.3:2730000-2730020,NC_000913.3:225391-225411,NC_000913.3:3427123-3427143;NC_000913.3:4037151-4037171;NC_000913.3:696711-696731;NC_000913.3:697104-697124;NC_000913.3:3022047-3022067,NC_000913.3:224784-224804,,NC_000913.3:225391-225411,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,100-5
NC_000913.3_5_substitution,,,,,NC_000913.3:686210-686230,,NC_000913.3:686773-686793,,B:No primer3 design results;A:No offtarget,Escherichia_coli,100-5
NC_000913.3_69_deletion,,,,,NC_000913.3:2182641-2182663,,NC_000913.3:2183241-2183261,,B:No primer3 design results;A:No offtarget,Escherichia_coli,100-5
NC_000913.3_45_deletion,NC_000913.3:4209285-4209305,NC_000913.3:4036669-4036689;NC_000913.3:224909-224929;NC_000913.3:3942946-3942966;NC_000913.3:4167797-4167817;NC_000913.3:3427605-3427625;NC_000913.3:2730000-2730020,NC_000913.3:4209837-4209855,NC_000913.3:2729364-2729382;NC_000913.3:4168435-4168453;NC_000913.3:3943498-3943516;NC_000913.3:690296-690314,NC_000913.3:4207832-4207852,,NC_000913.3:4209848-4209869,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,150-1
NC_000913.3_112_substitution,NC_000913.3:339977-339997,NC_000913.3:339791-339811;NC_000913.3:339884-339904;NC_000913.3:375166-375186,NC_000913.3:340526-340546,,NC_000913.3:339977-339997,NC_000913.3:339791-339811;NC_000913.3:339884-339904;NC_000913.3:375166-375186,NC_000913.3:340526-340546,,B:SEQUENCING_PRIMER_1 offtarget;A:SEQUENCING_PRIMER_1 offtarget,Escherichia_coli,150-1
NC_000913.3_126_insertion,NC_000913.3:2067236-2067256,NC_000913.3:3366633-3366653;NC_000913.3:688928-688948;NC_000913.3:3653113-3653133;NC_000913.3:575668-575688;NC_000913.3:275032-275052;NC_000913.3:2289996-2290016;NC_000913.3:2102826-2102846;NC_000913.3:3130244-3130264;NC_000913.3:1396142-1396162;NC_000913.3:1299597-1299617;NC_000913.3:1428677-1428697,NC_000913.3:2067736-2067756,NC_000913.3:2039031-2039051,NC_000913.3:2067221-2067241,,NC_000913.3:2067737-2067757,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,150-1
NC_000913.3_106_substitution,,,,,NC_000913.3:4512998-4513016,,NC_000913.3:4513543-4513563,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-1
NC_000913.3_79_substitution,,,,,NC_000913.3:408066-408086,,NC_000913.3:408576-408599,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-1
NC_000913.3_22_deletion,NC_000913.3:2568167-2568187,NC_000913.3:2568267-2568287;NC_000913.3:3231480-3231500;NC_000913.3:3231280-3231300;NC_000913.3:3231380-3231400,NC_000913.3:2568680-2568700,,NC_000913.3:2568128-2568150,,NC_000913.3:2568680-2568700,,B:SEQUENCING_PRIMER_1 offtarget;A:No offtarget,Escherichia_coli,150-2
NC_000913.3_45_deletion,NC_000913.3:228328-228348,NC_000913.3:4040089-4040109;NC_000913.3:3946273-3946293;NC_000913.3:4171210-4171230;NC_000913.3:4212612-4212632;NC_000913.3:3424195-3424215;NC_000913.3:2726596-2726616,NC_000913.3:228916-228936,NC_000913.3:3946860-3946880,NC_000913.3:228328-228348,,NC_000913.3:228998-229019,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,150-2
NC_000913.3_136_substitution,NC_000913.3:4171312-4171332,NC_000913.3:4212714-4212734;NC_000913.3:228430-228450;NC_000913.3:4040191-4040211;NC_000913.3:3946375-3946395;NC_000913.3:3424093-3424113;NC_000913.3:2726494-2726514,NC_000913.3:4171849-4171869,NC_000913.3:4040729-4040749;NC_000913.3:3423311-3423331;NC_000913.3:3329671-3329691,NC_000913.3:4171312-4171332,,NC_000913.3:4171954-4171975,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,150-2
NC_000913.3_140_insertion,NC_000913.3:3622127-3622148,NC_000913.3:3765118-3765139;NC_000913.3:732518-732539;NC_000913.3:734389-734410,NC_000913.3:3622617-3622637,NC_000913.3:3767361-3767381;NC_000913.3:734879-734899;NC_000913.3:3765608-3765628;NC_000913.3:733008-733028,NC_000913.3:3622127-3622148,,NC_000913.3:3622898-3622919,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,150-2
NC_000913.3_99_substitution,,,,,NC_000913.3:2734863-2734883,,NC_000913.3:2735475-2735495,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-2
NC_000913.3_72_substitution,,,,,NC_000913.3:3707900-3707920,,NC_000913.3:3708506-3708525,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-2
NC_000913.3_27_substitution,,,,,NC_000913.3:1884024-1884042,,NC_000913.3:1884606-1884626,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-2
NC_000913.3_80_substitution,,,,,NC_000913.3:1624668-1624688,,NC_000913.3:1625198-1625219,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-2
NC_000913.3_109_deletion,NC_000913.3:581333-581353,NC_000913.3:1635849-1635869,NC_000913.3:581887-581907,NC_000913.3:1634492-1634512;NC_000913.3:1432785-1432805,NC_000913.3:581253-581273,,NC_000913.3:582065-582085,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,150-3
NC_000913.3_118_deletion,NC_000913.3:1468909-1468929,NC_000913.3:2069940-2069960;NC_000913.3:2997360-2997380;NC_000913.3:4498493-4498513;NC_000913.3:3186408-3186428;NC_000913.3:381572-381592;NC_000913.3:2605428-2605448,NC_000913.3:1469436-1469459,NC_000913.3:4508517-4508540;NC_000913.3:270681-270704,NC_000913.3:1467902-1467922,,NC_000913.3:1469436-1469459,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,150-3
NC_000913.3_29_insertion,,,,,NC_000913.3:230403-230423,,NC_000913.3:230925-230948,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-3
NC_000913.3_128_substitution,,,,,NC_000913.3:3727256-3727276,,NC_000913.3:3727863-3727883,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-3
NC_000913.3_28_substitution,,,,,NC_000913.3:3991173-3991193,,NC_000913.3:3991732-3991752,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-3
NC_000913.3_25_substitution,NC_000913.3:4507812-4507833,NC_000913.3:271388-271409;NC_000913.3:1470143-1470164,NC_000913.3:4508304-4508324,NC_000913.3:1469652-1469672;NC_000913.3:270897-270917,NC_000913.3:4507421-4507442,,NC_000913.3:4508690-4508711,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,150-4
NC_000913.3_34_substitution,,,,,NC_000913.3:3622031-3622051,,NC_000913.3:3622871-3622891,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-4
NC_000913.3_110_substitution,,,,,NC_000913.3:3765861-3765883,,NC_000913.3:3766669-3766689,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-4
NC_000913.3_104_deletion,,,,,NC_000913.3:4338498-4338516,,NC_000913.3:4339095-4339115,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-4
NC_000913.3_46_insertion,,,,,NC_000913.3:2470164-2470187,,NC_000913.3:2470791-2470812,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-4
NC_000913.3_89_deletion,,,,,NC_000913.3:841568-841587,,NC_000913.3:842180-842200,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-4
NC_000913.3_24_substitution,NC_000913.3:3423427-3423447,NC_000913.3:4040613-4040633;NC_000913.3:3946796-3946816;NC_000913.3:228852-228872;NC_000913.3:4213136-4213156;NC_000913.3:4171733-4171753;NC_000913.3:2726073-2726093;NC_000913.3:3423672-3423692;NC_000913.3:3395358-3395378,NC_000913.3:3423958-3423980,NC_000913.3:4171445-4171467;NC_000913.3:3946508-3946530;NC_000913.3:4212847-4212869;NC_000913.3:228563-228585;NC_000913.3:4040324-4040346;NC_000913.3:2726359-2726381,NC_000913.3:3423227-3423248,,NC_000913.3:3425153-3425173,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,150-5
NC_000913.3_115_substitution,,,,,NC_000913.3:4421885-4421905,,NC_000913.3:4422479-4422499,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-5
NC_000913.3_133_insertion,,,,,NC_000913.3:4115419-4115439,,NC_000913.3:4115948-4115968,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-5
NC_000913.3_145_substitution,,,,,NC_000913.3:246561-246581,,NC_000913.3:247218-247238,,B:No primer3 design results;A:No offtarget,Escherichia_coli,150-5
NC_000913.3_5_substitution,NC_000913.3:225293-225313,NC_000913.3:3943330-3943350;NC_000913.3:4209669-4209689;NC_000913.3:4168181-4168201;NC_000913.3:4037053-4037073;NC_000913.3:2729616-2729636;NC_000913.3:3427221-3427241,NC_000913.3:225770-225790,NC_000913.3:3426753-3426773;NC_000913.3:2729154-2729174;NC_000913.3:3943715-3943735;NC_000913.3:4168652-4168672;NC_000913.3:4210054-4210074;NC_000913.3:4037530-4037550,NC_000913.3:224768-224791,,NC_000913.3:225770-225790,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,200-1
NC_000913.3_106_insertion,NC_000913.3:4176279-4176298,NC_000913.3:3470976-3470995;NC_000913.3:3759580-3759599,NC_000913.3:4176753-4176773,NC_000913.3:3470501-3470521,NC_000913.3:4175941-4175966,,NC_000913.3:4177094-4177112,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,200-1
NC_000913.3_125_insertion,NC_000913.3:2304131-2304151,,NC_000913.3:2304617-2304637,NC_000913.3:2304730-2304750;NC_000913.3:2304843-2304863;NC_000913.3:2304956-2304976;NC_000913.3:2304504-2304524,NC_000913.3:2304131-2304151,,NC_000913.3:2304617-2304637,NC_000913.3:2304730-2304750;NC_000913.3:2304843-2304863;NC_000913.3:2304956-2304976;NC_000913.3:2304504-2304524,B:SEQUENCING_PRIMER_2 offtarget;A:SEQUENCING_PRIMER_2 offtarget,Escherichia_coli,200-1
NC_000913.3_129_substitution,NC_000913.3:4036524-4036547,NC_000913.3:4167652-4167675;NC_000913.3:3942801-3942824;NC_000913.3:4209140-4209163;NC_000913.3:3427747-3427770;NC_000913.3:2730142-2730165;NC_000913.3:224764-224787,NC_000913.3:4037064-4037087,NC_000913.3:4209680-4209703;NC_000913.3:3943341-3943364;NC_000913.3:225304-225327;NC_000913.3:4168192-4168215;NC_000913.3:2729602-2729625;NC_000913.3:3427207-3427230,NC_000913.3:4035127-4035147,,NC_000913.3:4037064-4037087,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,200-1
NC_000913.3_194_deletion,NC_000913.3:3666348-3666367,NC_000913.3:1570813-1570832,NC_000913.3:3666912-3666932,NC_000913.3:1571377-1571397,NC_000913.3:3666142-3666162,,NC_000913.3:3667523-3667543,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,200-1
NC_000913.3_178_substitution,,,,,NC_000913.3:3134052-3134072,,NC_000913.3:3134594-3134615,,B:No primer3 design results;A:No offtarget,Escherichia_coli,200-1
NC_000913.3_23_deletion,,,,,NC_000913.3:3893781-3893801,,NC_000913.3:3894323-3894342,,B:No primer3 design results;A:No offtarget,Escherichia_coli,200-1
NC_000913.3_13_substitution,,,,,NC_000913.3:3256627-3256651,,NC_000913.3:3257224-3257244,,B:No primer3 design results;A:No offtarget,Escherichia_coli,200-1
NC_000913.3_185_insertion,,,,,NC_000913.3:2904238-2904258,,NC_000913.3:2904765-2904785,,B:No primer3 design results;A:No offtarget,Escherichia_coli,200-1
